date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:55	116749/116749	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:45:55%20GMT	https://www.bambooevents.co.in/	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/index.html	(from )
18:15:55	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2008%20Apr%202021%2007:54:15%20GMT	https://www.bambooevents.co.in/robots.txt		(from )
18:15:55	111478/111478	---M-Z	200	added ('OK')	font/ttf	date:Thu,%2008%20Apr%202021%2008:05:57%20GMT	https://www.bambooevents.co.in/fonts/design.graffiti.comicsansmsgras.ttf	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/fonts/design.graffiti.comicsansmsgras.ttf	(from https://www.bambooevents.co.in/)
18:15:55	683/683	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jul%202023%2012:45:55%20GMT	https://www.bambooevents.co.in/%e2%80%9chttps://www.bambooevents.co.in%e2%80%9d	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/%e2%80%9chttps_/www.bambooevents.co.in%e2%80%9d	(from https://www.bambooevents.co.in/)
18:15:55	19442/19442	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:45:56%20GMT	https://www.bambooevents.co.in/404.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/404.html	(from https://www.bambooevents.co.in/)
18:15:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2025%20Jul%202023%2012:45:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.googletagmanager.com/gtm.35445.delayed	(from https://www.bambooevents.co.in/)
18:15:56	9326/9326	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/images/favicon.png	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/favicon.png	(from https://www.bambooevents.co.in/)
18:15:56	132006/132006	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2006:48:33%20GMT	https://www.bambooevents.co.in/css/bootstrap.min.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/bootstrap.min.css	(from https://www.bambooevents.co.in/)
18:15:56	55206/55206	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2006:49:20%20GMT	https://www.bambooevents.co.in/css/animate.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/animate.css	(from https://www.bambooevents.co.in/)
18:15:56	7984/7984	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2006:44:33%20GMT	https://www.bambooevents.co.in/css/owl.carousel.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/owl.carousel.css	(from https://www.bambooevents.co.in/)
18:15:57	28607/28607	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2006:45:30%20GMT	https://www.bambooevents.co.in/css/font-awesome.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/font-awesome.css	(from https://www.bambooevents.co.in/)
18:15:57	13892/13892	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2006:41:58%20GMT	https://www.bambooevents.co.in/css/themify-icons.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/themify-icons.css	(from https://www.bambooevents.co.in/)
18:15:57	4626/4626	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2009:23:34%20GMT	https://www.bambooevents.co.in/css/flaticon.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/flaticon.css	(from https://www.bambooevents.co.in/)
18:15:57	145205/145205	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/revolution/css/layers.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/revolution/css/layers.css	(from https://www.bambooevents.co.in/)
18:15:58	38625/38625	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/revolution/css/settings.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/revolution/css/settings.css	(from https://www.bambooevents.co.in/)
18:15:58	19661/19661	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2006:43:40%20GMT	https://www.bambooevents.co.in/css/prettyPhoto.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/prettyPhoto.css	(from https://www.bambooevents.co.in/)
18:15:58	58654/58654	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2006:39:23%20GMT	https://www.bambooevents.co.in/css/shortcodes.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/shortcodes.css	(from https://www.bambooevents.co.in/)
18:15:58	69619/69619	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2011:40:15%20GMT	https://www.bambooevents.co.in/css/main.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/main.css	(from https://www.bambooevents.co.in/)
18:15:58	35486/35486	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2012:29:43%20GMT	https://www.bambooevents.co.in/css/responsive.css	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/css/responsive.css	(from https://www.bambooevents.co.in/)
18:15:59	116749/116749	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:45:59%20GMT	https://www.bambooevents.co.in/index.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/index-2.html	(from https://www.bambooevents.co.in/)
18:15:59	8148/8148	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/images/logo-white.png	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/logo-white.png	(from https://www.bambooevents.co.in/)
18:15:59	6034/6034	---M--	200	added ('OK')	image/webp	date:Tue,%2013%20Apr%202021%2011:59:07%20GMT	https://www.bambooevents.co.in/images/logo1.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/logo1.webp	(from https://www.bambooevents.co.in/)
18:15:59	67503/67503	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:00%20GMT	https://www.bambooevents.co.in/top-event-management-companies.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/top-event-management-companies.html	(from https://www.bambooevents.co.in/)
18:16:00	47141/47141	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:00%20GMT	https://www.bambooevents.co.in/event-managements-services-sangamner.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/event-managements-services-sangamner.html	(from https://www.bambooevents.co.in/)
18:16:00	217245/217245	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:00%20GMT	https://www.bambooevents.co.in/top-event-management-gallery.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/top-event-management-gallery.html	(from https://www.bambooevents.co.in/)
18:16:00	33392/33392	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:00%20GMT	https://www.bambooevents.co.in/the-royal-event-planner-faq.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/the-royal-event-planner-faq.html	(from https://www.bambooevents.co.in/)
18:16:00	34028/34028	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:01%20GMT	https://www.bambooevents.co.in/contact-the-royal-events-sangamner.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/contact-the-royal-events-sangamner.html	(from https://www.bambooevents.co.in/)
18:16:00	37525/37525	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:01%20GMT	https://www.bambooevents.co.in/the-royal-event-planner-enquiry.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/the-royal-event-planner-enquiry.html	(from https://www.bambooevents.co.in/)
18:16:01	116796/116796	---M--	200	added ('OK')	image/webp	date:Wed,%2016%20Nov%202022%2010:50:33%20GMT	https://www.bambooevents.co.in/images/slides/bannersss9.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/bannersss9.webp	(from https://www.bambooevents.co.in/)
18:16:01	102838/102838	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:41:52%20GMT	https://www.bambooevents.co.in/images/slides/birthday-slide2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/birthday-slide2.webp	(from https://www.bambooevents.co.in/)
18:16:01	95488/95488	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:42:04%20GMT	https://www.bambooevents.co.in/images/slides/corporate-slide1.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/corporate-slide1.webp	(from https://www.bambooevents.co.in/)
18:16:01	66072/66072	---M--	200	added ('OK')	image/webp	date:Wed,%2016%20Nov%202022%2009:31:11%20GMT	https://www.bambooevents.co.in/images/slides/corporate-slidess2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/corporate-slidess2.webp	(from https://www.bambooevents.co.in/)
18:16:02	100054/100054	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:42:46%20GMT	https://www.bambooevents.co.in/images/slides/corporate-slide3.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/corporate-slide3.webp	(from https://www.bambooevents.co.in/)
18:16:02	80812/80812	---M--	200	added ('OK')	image/webp	date:Wed,%2016%20Nov%202022%2009:37:25%20GMT	https://www.bambooevents.co.in/images/slides/sangeet-slidess1%20.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/sangeet-slidess1%20.webp	(from https://www.bambooevents.co.in/)
18:16:02	181306/181306	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:43:48%20GMT	https://www.bambooevents.co.in/images/slides/sangeet-slide2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/sangeet-slide2.webp	(from https://www.bambooevents.co.in/)
18:16:02	244162/244162	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:43:44%20GMT	https://www.bambooevents.co.in/images/slides/wedding-slide1.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/wedding-slide1.webp	(from https://www.bambooevents.co.in/)
18:16:02	126778/126778	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:43:42%20GMT	https://www.bambooevents.co.in/images/slides/wedding-slide2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/wedding-slide2.webp	(from https://www.bambooevents.co.in/)
18:16:03	153474/153474	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:41:10%20GMT	https://www.bambooevents.co.in/images/slides/banner2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/banner2.webp	(from https://www.bambooevents.co.in/)
18:16:03	166398/166398	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:41:12%20GMT	https://www.bambooevents.co.in/images/slides/banner8.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/slides/banner8.webp	(from https://www.bambooevents.co.in/)
18:16:03	1970/1970	---M--	200	added ('OK')	image/webp	date:Tue,%2020%20Jul%202021%2012:14:42%20GMT	https://www.bambooevents.co.in/images/ds-1.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/ds-1.webp	(from https://www.bambooevents.co.in/)
18:16:03	119958/119958	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:04%20GMT	https://www.bambooevents.co.in/wedding-planner-sangamner-india.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/wedding-planner-sangamner-india.html	(from https://www.bambooevents.co.in/)
18:16:03	60446/60446	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:01:26%20GMT	https://www.bambooevents.co.in/images/new/wedding2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/new/wedding2.webp	(from https://www.bambooevents.co.in/)
18:16:04	74668/74668	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:04%20GMT	https://www.bambooevents.co.in/corporate-event-management-companies.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/corporate-event-management-companies.html	(from https://www.bambooevents.co.in/)
18:16:04	39344/39344	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:01:25%20GMT	https://www.bambooevents.co.in/images/new/corporate2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/new/corporate2.webp	(from https://www.bambooevents.co.in/)
18:16:04	74542/74542	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:05%20GMT	https://www.bambooevents.co.in/birthday-party-event-management.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/birthday-party-event-management.html	(from https://www.bambooevents.co.in/)
18:16:04	50034/50034	---M--	200	added ('OK')	image/webp	date:Mon,%2019%20Jul%202021%2010:01:24%20GMT	https://www.bambooevents.co.in/images/new/birthday2.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/new/birthday2.webp	(from https://www.bambooevents.co.in/)
18:16:05	74265/74265	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:05%20GMT	https://www.bambooevents.co.in/housewarmig-functions-organizer.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/housewarmig-functions-organizer.html	(from https://www.bambooevents.co.in/)
18:16:05	27262/27262	---M--	200	added ('OK')	image/webp	date:Thu,%2015%20Jul%202021%2011:51:50%20GMT	https://www.bambooevents.co.in/images/house-warming.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/house-warming.webp	(from https://www.bambooevents.co.in/)
18:16:05	79835/79835	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:05%20GMT	https://www.bambooevents.co.in/puberty-event-function-organizer.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/puberty-event-function-organizer.html	(from https://www.bambooevents.co.in/)
18:16:05	58408/58408	---M--	200	added ('OK')	image/webp	date:Wed,%2016%20Nov%202022%2007:01:32%20GMT	https://www.bambooevents.co.in/images/puberty-functions.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/puberty-functions.webp	(from https://www.bambooevents.co.in/)
18:16:05	80153/80153	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:06%20GMT	https://www.bambooevents.co.in/engagement-planner-sangamner.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/engagement-planner-sangamner.html	(from https://www.bambooevents.co.in/)
18:16:06	54346/54346	---M--	200	added ('OK')	image/webp	date:Thu,%2015%20Jul%202021%2012:38:09%20GMT	https://www.bambooevents.co.in/images/engagement.webp	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/engagement.webp	(from https://www.bambooevents.co.in/)
18:16:06	683/683	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jul%202023%2012:46:06%20GMT	https://www.bambooevents.co.in/img/images/testi_avatar01.png	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/img/images/testi_avatar01.png	(from https://www.bambooevents.co.in/)
18:16:06	683/683	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jul%202023%2012:46:06%20GMT	https://www.bambooevents.co.in/img/images/testi_avatar02.png	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/img/images/testi_avatar02.png	(from https://www.bambooevents.co.in/)
18:16:06	683/683	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jul%202023%2012:46:07%20GMT	https://www.bambooevents.co.in/img/images/testi_avatar02.png	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/img/images/testi_avatar02.png	(from https://www.bambooevents.co.in/)
18:16:06	67863/67863	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:07%20GMT	https://www.bambooevents.co.in/top-best-destination-wedding-planners.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/top-best-destination-wedding-planners.html	(from https://www.bambooevents.co.in/)
18:16:07	67441/67441	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:07%20GMT	https://www.bambooevents.co.in/product-launch-event-organizers-chennai.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/product-launch-event-organizers-chennai.html	(from https://www.bambooevents.co.in/)
18:16:07	68351/68351	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:07%20GMT	https://www.bambooevents.co.in/company-award-ceremony-event-planner.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/company-award-ceremony-event-planner.html	(from https://www.bambooevents.co.in/)
18:16:07	76573/76573	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:08%20GMT	https://www.bambooevents.co.in/virtual-online-event-management-organizers.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/virtual-online-event-management-organizers.html	(from https://www.bambooevents.co.in/)
18:16:07	67511/67511	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:08%20GMT	https://www.bambooevents.co.in/corporate-social-event-planner-india.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/corporate-social-event-planner-india.html	(from https://www.bambooevents.co.in/)
18:16:08	75364/75364	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:08%20GMT	https://www.bambooevents.co.in/exhibition-stall-design-fabricators-services.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/exhibition-stall-design-fabricators-services.html	(from https://www.bambooevents.co.in/)
18:16:08	74341/74341	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:08%20GMT	https://www.bambooevents.co.in/baby-naming-ceremony-events.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/baby-naming-ceremony-events.html	(from https://www.bambooevents.co.in/)
18:16:08	79635/79635	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:08%20GMT	https://www.bambooevents.co.in/bangle-ceremony-event-valaikappu-function.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/bangle-ceremony-event-valaikappu-function.html	(from https://www.bambooevents.co.in/)
18:16:08	74760/74760	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:09%20GMT	https://www.bambooevents.co.in/sangeet-mehendi-ceremony-sangamner.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/sangeet-mehendi-ceremony-sangamner.html	(from https://www.bambooevents.co.in/)
18:16:08	74663/74663	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:09%20GMT	https://www.bambooevents.co.in/wedding-anniversary-event-planner.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/wedding-anniversary-event-planner.html	(from https://www.bambooevents.co.in/)
18:16:09	74662/74662	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2012:46:09%20GMT	https://www.bambooevents.co.in/school-college-alumni-event-planners.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/school-college-alumni-event-planners.html	(from https://www.bambooevents.co.in/)
18:16:09	96621/96621	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20Nov%202022%2006:54:55%20GMT	https://www.bambooevents.co.in/js/jquery.min.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/jquery.min.js	(from https://www.bambooevents.co.in/)
18:16:09	24632/24632	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/js/tether.min.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/tether.min.js	(from https://www.bambooevents.co.in/)
18:16:09	46653/46653	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/js/bootstrap.min.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/bootstrap.min.js	(from https://www.bambooevents.co.in/)
18:16:09	4725/4725	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/js/jquery.easing.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/jquery.easing.js	(from https://www.bambooevents.co.in/)
18:16:10	8064/8064	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/js/jquery-waypoints.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/jquery-waypoints.js	(from https://www.bambooevents.co.in/)
18:16:10	40302/40302	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jul%202021%2012:07:34%20GMT	https://www.bambooevents.co.in/js/owl.carousel.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/owl.carousel.js	(from https://www.bambooevents.co.in/)
18:16:10	21512/21512	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2010%20Apr%202021%2007:18:09%20GMT	https://www.bambooevents.co.in/js/jquery.prettyPhoto.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/jquery.prettyPhoto.js	(from https://www.bambooevents.co.in/)
18:16:10	3092/3092	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/js/numinate.min6959.js?ver=4.9.3	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/numinate.min69596959.js	(from https://www.bambooevents.co.in/)
18:16:11	11874/11874	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Apr%202023%2007:13:53%20GMT	https://www.bambooevents.co.in/js/main.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/js/main.js	(from https://www.bambooevents.co.in/)
18:16:11	89992/89992	---M-Z	200	added ('OK')	application/javascript	etag:%226494c7bb-4e12%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.js	(from https://www.bambooevents.co.in/)
18:16:12	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%226494647e-247%22	https://cdnjs.cloudflare.com/ajax/libs/Counter-Up/1.0.0/jquery.counterup.min.js	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/cdnjs.cloudflare.com/ajax/libs/Counter-Up/1.0.0/jquery.counterup.min.js	(from https://www.bambooevents.co.in/)
18:16:12	683/683	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jul%202023%2012:46:12%20GMT	https://www.bambooevents.co.in/index.html	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/index-3.html	(from https://www.bambooevents.co.in/404.php)
18:16:12	395604/395604	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Apr%202021%2007:27:25%20GMT	https://www.bambooevents.co.in/images/oops.png	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/images/oops.png	(from https://www.bambooevents.co.in/404.php)
18:16:12	683/683	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jul%202023%2012:46:13%20GMT	https://www.bambooevents.co.in/services.php	C:/Users/Lenovo/Desktop/learning/The%20Royal%20Events/The%20Royal%20Events/www.bambooevents.co.in/services.php	(from https://www.bambooevents.co.in/404.php)
